"recipient_id","name_in_edition","Number of letters sent by Erasmus per mututal correspondent"
"9303451d-5a45-49d0-a202-5fc0221ab96c","Julius PFLUG [COE] // Julius Pflug [CWE] // Pflug, Julius [ALLEN]","6"
"7e4be060-6388-4fe4-b5f2-d5931ac9be71","Konrad von THÜNGEN [COE] // Konrad von Thüngen [CWE] // Thuengen, Conrad of [ALLEN]","6"
"6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]","5"
"87af3740-6b36-4e29-b4eb-b699da0ee2ab","Heinrich STROMER [COE] // Heinrich Stromer [CWE] // Stromer, Henry [ALLEN]","4"
"8e337b13-a43c-4100-81c0-7ee324f61eb0","Pope ADRIAN VI [COE] // Adrian VI [CWE] // Adrian VI, Pope (Adrian of Utrecht) [ALLEN]","4"
"4def768d-f29a-49fe-8466-9afeffa7a72c","Conradus PELLICANUS [COE] // Conradus Pellicanus [CWE] // Pellican, Conrad [ALLEN]","4"
"be273f96-c387-44e8-b3ae-bc9bd615b3a5","Martin LUTHER [COE] // Martin Luther [CWE] // Luther, Martin [ALLEN]","4"
"82023df8-a729-45f3-9e10-690acb331101","Johann (II) PAUMGARTNER [COE] // Johann (II) Paumgartner [CWE] // Paungartner, Johann [ALLEN]","3"
"6bd6eb34-d5f1-47fe-bfaf-82f0aa28031d","Hermannus BUSCHIUS [COE] // Hermann von dem Busche [CWE] // Busch, Hermann [ALLEN]","3"
"048e0147-58cf-45e5-8312-f52998ca0ee4","Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]","3"
"8444896d-fb1b-4eb5-9f39-39b1e78d470c","Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]","3"
"853e25f4-7e65-49c4-a737-7fdba57aa66c","Frederick III, elector of SAXONY [COE] // Duke / Elector Frederick of Saxony [CWE] // Frederick of Saxony [ALLEN]","3"
"e9bb1ec7-084a-48e8-8cf5-cfc7b3b9fab1","Johann LANG [COE] // Johann Lang [CWE] // Lang, John [ALLEN]","3"
"e29e3092-5f6a-4995-b866-8df1aac8503d","Petrus MOSELLANUS [COE] // Petrus Mosellanus [CWE] // Mosellanus, Petrus (Schade) [ALLEN]","3"
"dba1603f-8714-4349-a9d4-06f69cb86e50","Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]","2"
"e920361f-d0bb-4f0b-b867-09aed65291df","Martin BUCER [COE] // Martin Bucer [CWE] // Bucer, Martin [ALLEN]","2"
"bc50a443-ba15-40b1-a604-f5d5fbe99467","Balthasar MERKLIN [COE] // Balthasar Merklin [CWE] // Mercklin, Balthasar [ALLEN]","2"
"6ffb373e-7884-42c0-b990-a7b11aa129cb","Joachim CAMERARIUS [COE] // Joachim Camerarius [CWE] // Camerarius, Joachim the elder [ALLEN]","2"
"f06096c0-b735-4eeb-aa95-9cdca9635381","Johannes Alexander BRASSICANUS [COE] // Johannes Alexander Brassicanus [CWE] // Brassicanus, Joannes Alexander [ALLEN]","2"
"10427a78-3d92-4ab3-b6c0-dbfdfef56aee","Hieronymus FROBEN [COE] // Hieronymus Froben [CWE] // Froben, Hieronymus [ALLEN]","2"
"5751e796-b06a-4104-9a41-90dac38528cf","Tranquillus ANDRONICUS Parthenius [COE] // Tranquillus Andronicus Parthenius [CWE] // Andronicus, Tranquillus [ALLEN]","1"
"893a2802-c9ed-4f40-9fa2-d1284334c044","Alexander SCHWEISS [COE] // Alexander Schweiss [CWE] // Schweiss, Alexander [ALLEN]","1"
"ae299c0d-a569-4eb0-894a-0c99bfb0575e","Konrad PEUTINGER [COE] // Konrad Peutinger [CWE] // Peutinger, Conrad [ALLEN]","1"
"b680758a-3438-4879-a9ef-2f17ea220357","Johann (I) LOTZER [COE] // Johann Lotzer [CWE] // Lotzer, John [ALLEN]","1"
"7ca36007-621e-4c12-a5dc-f41fa15b4456","Rudbert von MOSHAM [COE] // Rudbert von Mosham [CWE] // Mosham, Rudbert of (Moshain) [ALLEN]","1"
"caa86a52-9f91-49a1-aabc-4d7bba06eb09","Paulus RICIUS [COE] // Paulus Ricius [CWE] // Ricius, Paulus (Ritius) [ALLEN]","1"
"62ef8b11-62fe-4cd7-b137-1fbca96c7a84","Johann HUTTICH [COE] // Johann Huttich [CWE] // Huttich, John [ALLEN]","1"
"daa18870-1c1f-4d5a-9cef-f9f93fcece52","Jakob ZIEGLER [COE] // Jakob Ziegler [CWE] // Ziegler, Jakob (Landavus Bavarus) [ALLEN]","1"
"117bf878-67de-4646-b967-b6022532ad85","Johann Maier of ECK [COE] // Johann Maier von Eck [CWE] // Eck, Johann [ALLEN]","1"
"de951b82-29da-4042-baff-d4d649ae4539","Christoph HEGENDORFF [COE] // Christoph Hegendorf [CWE] // Hegendorfer, Christopher [ALLEN]","1"
"68e9f7d5-7c19-4579-bcfb-1205839871dd","Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]","1"
