"send_date_computable1","NoEppSentToPirck"
"1528-06-23","2"
"1506-08-18","1"
"1528-06-24","1"
"1528-06-26","1"
"1528-06-30","1"
"1528-07-01","2"
"1528-08-08","1"
"1528-08-09","1"
"1528-08-20","1"
"1506-09-01","1"
"1528-09-04","1"
"1528-10-02","1"
"1528-10-04","1"
"1528-10-05","1"
"1528-10-23","1"
"1528-10-30","1"
"1528-11-01","1"
"1528-11-20","1"
"1528-12-01","1"
"1506-09-05","1"
"1528-12-20","1"
"1528-12-23","1"
"1528-12-29","2"
"1529-01-05","1"
"1529-01-23","1"
"1529-01-27","1"
"1529-02-04","1"
"1529-02-05","1"
"1506-09-06","1"
"1529-02-10","1"
"1529-02-13","2"
"1529-03-10","1"
"1529-03-15","1"
"1529-03-27","1"
"1529-03-29","1"
"1529-03-01","1"
"1529-04-04","1"
"1506-09-08","1"
"1529-04-05","1"
"1529-04-09","1"
"1529-04-12","2"
"1529-04-18","1"
"1529-05-10","1"
"1529-05-26","1"
"1506-09-10","1"
"1529-06-19","1"
"1529-06-23","1"
"1529-06-20","1"
"1529-07-01","1"
"1529-07-12","1"
"1529-07-13","1"
"1529-07-23","2"
"1506-09-23","1"
"1529-07-26","1"
"1529-08-20","1"
"1529-09-15","1"
"1529-09-24","1"
"1529-10-07","1"
"1529-10-15","1"
"1529-10-20","2"
"1506-09-26","2"
"1529-10-28","1"
"1529-11-01","1"
"1529-11-06","1"
"1529-11-11","1"
"1529-11-13","1"
"1529-11-14","1"
"1529-11-17","1"
"1529-11-30","1"
"1529-12-01","1"
"1529-12-06","1"
"1529-12-12","1"
"1529-12-17","1"
"1529-12-18","1"
"1529-12-22","1"
"1529-12-24","1"
"1529-12-29","1"
"1529-01-01","1"
"1530-01-04","1"
"1530-01-07","1"
"1506-09-29","1"
"1530-01-11","1"
"1530-01-28","1"
"1530-01-30","1"
"1530-02-07","1"
"1530-02-16","1"
"1530-02-19","1"
"1530-02-22","1"
"1530-02-26","1"
"1530-03-10","1"
"1506-10-05","1"
"1530-03-12","2"
"1530-03-15","1"
"1530-03-22","1"
"1530-03-27","1"
"1530-04-03","1"
"1530-04-28","1"
"1530-04-29","1"
"1530-05-15","1"
"1506-10-13","1"
"1530-05-19","1"
"1530-05-27","1"
"1530-05-28","1"
"1530-05-30","1"
"1530-06-01","1"
"1530-06-02","1"
"1530-06-09","1"
"1530-06-18","1"
"1530-06-24","2"
"1499-06-12","2"
"1530-06-27","3"
"1530-06-29","1"
"1530-07-15","1"
"1530-07-26","1"
"1530-07-31","1"
"1530-08-05","1"
"1506-10-23","2"
"1530-08-21","1"
"1530-08-25","1"
"1530-08-01","1"
"1530-09-01","1"
"1530-09-05","1"
"1530-09-11","1"
"1530-09-17","1"
"1530-09-24","1"
"1530-09-25","1"
"1530-10-03","1"
"1530-10-01","1"
"1530-10-08","1"
"1530-10-13","1"
"1530-10-18","1"
"1530-11-03","1"
"1530-11-13","2"
"1506-11-05","1"
"1530-11-27","1"
"1530-12-01","1"
"1530-12-05","1"
"1506-11-11","1"
"1506-11-12","1"
"1506-11-14","1"
"1506-11-20","1"
"1506-12-22","1"
"1506-12-26","1"
"1507-01-04","1"
"1507-01-09","1"
"1507-01-13","1"
"1507-01-15","1"
"1507-02-07","1"
"1507-02-08","1"
"1507-02-11","1"
"1507-02-12","1"
"1507-02-13","1"
"1507-02-21","1"
"1507-02-23","1"
"1507-03-01","1"
"1507-03-08","1"
"1507-03-07","1"
"1507-03-15","2"
"1507-03-16","1"
"1499-06-20","1"
"1507-03-17","1"
"1507-03-19","1"
"1504-04-01","1"
"1507-04-18","1"
"1507-04-23","1"
"1507-04-24","1"
"1507-04-27","1"
"1499-06-25","2"
"1507-05-23","1"
"1507-05-25","1"
"1507-07-18","1"
"1507-05-24","2"
"1508-05-19","1"
"1508-03-25","1"
"1508-08-26","1"
"1508-10-20","1"
"1508-10-29","1"
"1508-10-01","1"
"1509-02-10","1"
"1509-06-06","1"
"1509-07-23","1"
"1509-12-08","1"
"1510-05-10","1"
"1511-02-03","1"
"1511-03-25","1"
"1499-06-28","2"
"1511-05-26","1"
"1511-07-11","1"
"1511-08-25","1"
"1511-09-01","1"
"1511-10-16","1"
"1511-11-23","1"
"1511-11-26","1"
"1512-02-21","1"
"1512-03-20","1"
"1512-04-10","1"
"1512-06-19","1"
"1512-06-23","1"
"1499-07-01","1"
"1512-07-07","1"
"1512-07-20","1"
"1512-07-23","1"
"1512-07-29","1"
"1512-08-07","1"
"1512-08-18","1"
"1512-08-25","1"
"1512-09-02","1"
"1512-09-03","1"
"1512-09-09","1"
"1499-07-15","1"
"1512-09-25","1"
"1512-09-27","1"
"1512-11-08","1"
"1512-11-09","1"
"1512-11-10","1"
"1512-11-12","1"
"1499-07-16","1"
"1512-11-13","2"
"1512-11-19","1"
"1512-11-20","1"
"1509-06-27","2"
"1513-01-12","1"
"1513-02-17","1"
"1513-03-04","1"
"1499-07-27","2"
"1513-04-04","1"
"1513-05-10","1"
"1513-01-01","2"
"1513-07-01","1"
"1513-11-01","1"
"1513-07-26","1"
"1513-07-29","1"
"1513-08-01","2"
"1513-08-04","1"
"1513-08-05","1"
"1499-07-29","1"
"1513-08-26","1"
"1513-08-27","1"
"1513-08-28","1"
"1513-09-05","1"
"1513-09-11","1"
"1499-08-02","1"
"1513-12-01","1"
"1513-12-07","1"
"1499-08-06","1"
"1513-12-13","1"
"1513-12-14","1"
"1513-12-21","1"
"1513-12-23","1"
"1513-12-25","2"
"1499-08-24","1"
"1505-01-31","1"
"1514-03-10","1"
"1499-08-27","1"
"1514-03-15","1"
"1514-03-17","1"
"1514-03-21","1"
"1514-03-25","2"
"1514-04-02","1"
"1514-04-17","1"
"1499-08-30","1"
"1514-04-26","1"
"1514-05-04","1"
"1514-05-06","1"
"1514-05-08","1"
"1514-05-18","1"
"1514-06-17","1"
"1499-09-04","1"
"1514-07-31","1"
"1514-08-20","1"
"1514-08-25","1"
"1499-09-07","2"
"1514-09-14","1"
"1514-09-16","1"
"1514-09-23","1"
"1514-09-25","1"
"1514-10-09","1"
"1514-01-01","1"
"1499-09-14","1"
"1515-02-13","1"
"1515-04-02","1"
"1515-04-05","1"
"1515-05-12","1"
"1515-01-23","1"
"1515-09-08","1"
"1499-09-19","1"
"1515-10-27","1"
"1515-10-18","1"
"1515-11-01","1"
"1499-09-20","1"
"1499-09-28","1"
"1516-08-07","1"
"1516-08-15","1"
"1516-08-01","1"
"1516-09-09","1"
"1516-09-14","1"
"1516-09-01","2"
"1516-10-01","1"
"1495-09-14","1"
"1516-10-08","1"
"1516-10-13","1"
"1516-11-15","1"
"1516-11-23","1"
"1516-12-03","1"
"1516-12-05","1"
"1516-12-31","1"
"1501-07-26","1"
"1517-01-01","4"
"1517-01-15","1"
"1517-01-17","1"
"1517-01-19","1"
"1517-02-07","1"
"1517-02-24","1"
"1517-03-07","1"
"1517-03-15","2"
"1517-03-20","1"
"1517-03-25","1"
"1517-03-27","1"
"1517-04-03","1"
"1517-04-04","1"
"1517-04-27","1"
"1517-05-03","2"
"1517-05-12","1"
"1517-05-10","1"
"1517-05-21","1"
"1517-05-25","1"
"1517-05-28","1"
"1517-05-29","1"
"1517-06-07","1"
"1517-06-09","1"
"1501-11-01","1"
"1517-06-15","2"
"1517-06-26","1"
"1517-07-05","1"
"1517-07-10","1"
"1517-07-18","1"
"1517-07-19","1"
"1517-08-08","1"
"1502-01-01","2"
"1517-08-10","1"
"1517-08-13","1"
"1517-08-18","1"
"1517-08-21","1"
"1517-09-01","1"
"1517-09-03","1"
"1517-09-09","1"
"1517-09-13","1"
"1517-09-14","1"
"1517-09-18","1"
"1517-09-24","1"
"1517-10-03","1"
"1517-10-11","1"
"1517-10-12","1"
"1517-10-21","1"
"1517-10-25","2"
"1517-11-01","3"
"1517-11-07","1"
"1517-11-08","1"
"1517-11-13","1"
"1517-11-14","2"
"1517-11-16","2"
"1502-03-19","1"
"1517-11-18","1"
"1517-12-06","2"
"1517-12-03","1"
"1517-12-09","1"
"1517-12-12","2"
"1517-12-10","1"
"1502-04-05","1"
"1517-12-18","1"
"1517-12-19","1"
"1517-12-21","1"
"1517-12-29","1"
"1517-12-31","1"
"1518-01-01","3"
"1518-01-04","1"
"1518-01-11","1"
"1518-01-20","1"
"1518-01-23","1"
"1518-01-25","2"
"1518-01-30","1"
"1518-02-05","1"
"1518-02-09","1"
"1518-02-18","1"
"1518-02-23","1"
"1518-03-01","1"
"1518-03-07","1"
"1518-03-12","1"
"1518-03-23","1"
"1518-03-20","1"
"1518-03-29","1"
"1518-04-05","1"
"1518-04-07","1"
"1518-04-18","1"
"1518-04-23","1"
"1518-05-01","1"
"1518-05-08","1"
"1518-05-09","1"
"1518-05-30","1"
"1518-06-01","2"
"1518-06-19","1"
"1518-07-13","1"
"1518-08-05","1"
"1518-09-06","2"
"1518-09-18","1"
"1518-10-02","1"
"1502-12-15","1"
"1518-10-13","1"
"1518-10-25","1"
"1518-11-10","2"
"1518-11-13","1"
"1518-11-14","1"
"1518-11-30","2"
"1518-12-03","1"
"1518-12-18","1"
"1518-11-01","1"
"1519-01-03","2"
"1519-01-05","1"
"1519-01-07","1"
"1519-01-09","1"
"1519-01-15","1"
"1519-01-18","1"
"1519-01-24","1"
"1519-02-03","1"
"1519-02-05","1"
"1519-02-16","1"
"1519-02-18","1"
"1519-02-20","1"
"1519-02-21","2"
"1519-03-02","1"
"1519-03-07","1"
"1519-03-08","1"
"1519-03-21","1"
"1519-03-22","1"
"1519-03-23","1"
"1519-03-29","1"
"1519-04-02","1"
"1519-04-10","2"
"1519-04-12","1"
"1519-04-15","1"
"1519-04-19","1"
"1519-04-18","1"
"1519-04-26","1"
"1519-05-03","1"
"1519-07-07","1"
"1519-07-13","1"
"1519-07-16","1"
"1519-07-17","1"
"1519-07-20","1"
"1519-08-03","1"
"1519-08-10","1"
"1519-08-12","1"
"1519-08-01","1"
"1519-08-23","1"
"1519-08-24","1"
"1519-08-26","1"
"1519-09-21","1"
"1519-10-14","1"
"1519-10-15","1"
"1519-11-01","1"
"1519-11-03","1"
"1519-11-04","1"
"1519-11-05","1"
"1519-11-08","1"
"1519-11-14","1"
"1519-11-16","1"
"1519-11-19","1"
"1519-11-20","3"
"1501-01-01","1"
"1519-12-01","2"
"1519-12-03","1"
"1519-12-04","1"
"1519-12-06","1"
"1519-12-09","1"
"1519-12-11","1"
"1519-12-12","1"
"1519-12-16","1"
"1519-12-21","2"
"1519-12-25","1"
"1519-12-23","1"
"1519-12-30","1"
"1519-01-01","1"
"1520-01-01","1"
"1520-01-03","1"
"1520-01-07","1"
"1520-01-11","1"
"1505-05-10","2"
"1520-01-19","1"
"1520-01-23","1"
"1520-01-26","1"
"1520-01-29","1"
"1520-01-30","2"
"1520-01-31","1"
"1520-02-07","1"
"1520-02-08","1"
"1520-02-10","1"
"1520-02-17","1"
"1520-02-29","1"
"1520-03-04","2"
"1520-03-11","1"
"1520-03-15","1"
"1520-03-27","1"
"1520-04-05","1"
"1520-04-10","1"
"1505-05-17","1"
"1520-04-12","1"
"1520-04-13","1"
"1520-04-17","2"
"1520-04-18","1"
"1520-04-24","1"
"1520-04-25","1"
"1520-05-03","1"
"1520-05-07","1"
"1505-05-29","1"
"1520-05-12","1"
"1520-05-13","1"
"1520-05-30","1"
"1520-06-02","1"
"1520-06-06","1"
"1520-06-10","2"
"1520-06-11","1"
"1520-06-12","1"
"1520-06-24","1"
"1505-06-01","1"
"1505-06-03","1"
"1520-06-27","1"
"1520-07-01","1"
"1520-07-03","1"
"1520-07-11","1"
"1520-08-25","1"
"1520-09-17","1"
"1505-06-21","1"
"1520-10-09","1"
"1520-10-19","1"
"1520-10-20","1"
"1520-10-22","1"
"1520-10-26","1"
"1520-10-30","1"
"1505-06-25","1"
"1520-11-02","1"
"1520-11-05","1"
"1520-11-07","1"
"1520-11-09","1"
"1520-11-11","1"
"1520-11-16","2"
"1520-11-17","1"
"1520-11-19","1"
"1520-11-23","1"
"1520-11-26","1"
"1520-12-03","1"
"1520-12-05","1"
"1520-12-11","1"
"1520-12-18","1"
"1505-06-28","1"
"1520-12-29","1"
"1520-12-01","1"
"1521-01-01","1"
"1521-01-10","1"
"1521-03-03","1"
"1505-07-01","1"
"1521-05-01","1"
"1521-08-01","1"
"1521-09-15","1"
"1521-09-01","1"
"1505-07-10","1"
"1522-03-21","1"
"1522-10-08","1"
"1505-07-12","1"
"1522-11-01","2"
"1522-01-01","1"
"1522-12-29","2"
"1523-01-22","1"
"1523-01-01","1"
"1505-07-19","1"
"1523-02-04","1"
"1523-03-08","1"
"1523-03-20","1"
"1523-07-08","1"
"1505-07-24","1"
"1523-10-01","1"
"1523-11-02","1"
"1523-11-01","3"
"1523-11-30","1"
"1523-12-22","1"
"1499-05-11","1"
"1505-07-28","1"
"1524-01-04","1"
"1524-01-07","1"
"1524-01-10","1"
"1524-01-14","1"
"1524-01-16","1"
"1524-01-17","1"
"1524-01-19","1"
"1505-08-08","1"
"1524-01-27","1"
"1524-01-28","1"
"1524-01-29","1"
"1524-01-31","1"
"1524-02-01","1"
"1524-02-03","1"
"1524-02-05","1"
"1505-08-11","1"
"1524-02-26","1"
"1524-03-01","3"
"1524-03-02","1"
"1524-03-17","1"
"1524-03-20","1"
"1524-03-31","1"
"1524-04-01","1"
"1505-09-21","1"
"1524-04-02","1"
"1524-04-07","1"
"1524-04-15","1"
"1524-04-21","1"
"1524-04-24","1"
"1524-04-20","1"
"1524-05-03","1"
"1524-05-15","1"
"1524-05-16","1"
"1505-12-06","1"
"1524-05-19","1"
"1524-05-23","2"
"1524-05-30","1"
"1524-06-01","2"
"1524-06-06","1"
"1524-06-09","1"
"1524-06-14","1"
"1524-06-20","1"
"1524-06-25","1"
"1524-06-26","1"
"1524-07-08","1"
"1524-07-10","3"
"1505-12-21","2"
"1524-07-26","1"
"1524-07-27","1"
"1524-07-01","1"
"1524-08-09","1"
"1524-08-10","1"
"1524-08-24","1"
"1524-08-25","1"
"1524-08-28","1"
"1524-08-31","1"
"1524-09-09","1"
"1524-10-18","2"
"1524-10-24","1"
"1524-11-05","1"
"1524-11-17","1"
"1524-11-19","1"
"1524-11-20","2"
"1524-11-22","1"
"1505-12-31","1"
"1524-11-27","1"
"1524-11-30","1"
"1524-12-02","1"
"1524-12-06","1"
"1524-12-21","1"
"1524-01-01","2"
"1524-12-27","1"
"1499-01-01","1"
"1525-01-09","1"
"1525-01-22","1"
"1525-01-23","1"
"1525-01-26","1"
"1525-01-25","1"
"1525-01-01","5"
"1525-02-01","1"
"1525-02-12","1"
"1525-02-14","1"
"1525-02-17","2"
"1525-02-26","1"
"1525-02-27","1"
"1525-02-20","1"
"1525-02-28","1"
"1506-01-06","1"
"1525-03-03","1"
"1525-03-06","1"
"1525-03-08","1"
"1525-03-10","1"
"1525-03-17","1"
"1525-03-22","1"
"1525-03-23","1"
"1506-01-09","1"
"1525-03-26","1"
"1525-03-27","1"
"1525-03-28","1"
"1525-04-05","1"
"1525-04-06","2"
"1506-01-12","1"
"1525-04-15","1"
"1525-04-18","1"
"1525-04-24","1"
"1525-04-25","1"
"1525-04-28","1"
"1525-05-01","1"
"1525-05-19","1"
"1506-01-26","1"
"1525-05-20","1"
"1525-05-26","1"
"1525-05-29","1"
"1525-05-31","1"
"1525-06-03","1"
"1525-06-06","1"
"1525-06-10","1"
"1525-06-11","3"
"1506-01-29","1"
"1525-06-13","1"
"1525-06-15","1"
"1525-06-17","1"
"1525-06-23","1"
"1525-06-24","1"
"1525-06-25","1"
"1525-07-03","1"
"1525-07-06","1"
"1525-07-18","2"
"1506-01-30","1"
"1525-07-20","1"
"1525-08-01","1"
"1525-08-20","1"
"1525-07-16","1"
"1525-09-04","1"
"1525-09-05","1"
"1525-09-06","1"
"1525-09-12","1"
"1525-09-10","1"
"1506-02-05","1"
"1525-09-17","1"
"1525-09-21","1"
"1525-09-22","1"
"1525-09-01","1"
"1525-10-15","2"
"1525-10-12","1"
"1525-10-13","1"
"1525-10-18","1"
"1506-02-07","1"
"1525-10-20","1"
"1525-10-28","1"
"1525-10-29","1"
"1525-11-05","1"
"1525-11-10","1"
"1525-11-22","1"
"1525-11-28","1"
"1525-12-04","1"
"1525-12-08","1"
"1506-02-09","1"
"1525-12-12","1"
"1525-12-01","1"
"1525-11-01","2"
"1525-12-24","2"
"NULL","4"
"1529-05-11","1"
