"recipient_id","name_in_edition","Number of letters sent by Pirckheimer to this correspondent"
"7ebb6cfa-ce0f-4644-b60b-7591b784f052","Sebald Geuder","2"
"853e25f4-7e65-49c4-a737-7fdba57aa66c","Kurfürst Friedrich der Weise von Sachsen","2"
"86955a69-408e-4036-928d-ae732549f50c","Johann Grieninger","2"
"a95b1a6c-90c7-498e-9b9f-0518130ef9e0","Katharina Pirckheimer d. J.","2"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Ulrich Zasius","2"
"c019c795-e8d8-40a6-887c-15d3fa47a55c","Paulus Constantinus Phrygio","2"
"c34e50fc-0596-4920-9c96-bb22626dec77","Katharina Pirckheimer d. Ä.","2"
"cc8abc57-d9a9-4dad-8f2d-562e42722183","Gabriel von Eyb","2"
"d2fe0216-e9b0-4077-ba21-251d1ff16084","Papst Leo X.","2"
"d4bca5c1-d82e-4aa4-8116-168efade21af","Klara Pirckheimer","2"
"e089bd69-f9b2-4bd5-b9c4-57b52f3a7145","Katharina von Stetten // Katharina, Äbtissin zu Geisenfeld","2"
"e29e3092-5f6a-4995-b866-8df1aac8503d","Petrus Mosellanus","2"
"e3e8f42f-41c6-4bff-afa6-152bdb2f9bde","Sabina Pirckheimer","2"
"e5ee387e-846b-415e-b5a7-8aaaeb6ca06e","Johannes Cuspinianus","2"
"e64e4259-4c7d-46d3-ad47-b0792af5acdc","Lorenz Beheim","2"
"f022a3b4-8319-4bec-91d5-466f5888fb74","Kaspar Nützel","2"
"058dce68-7011-4fb4-80c0-857d53d038b6","Melchior Pfinzing","1"
"05d146d0-11f3-4d82-96b2-c185556a745f","Lazarus Spengler","1"
"0ebbde82-bd06-4dba-9d95-d0375207c54c","Paul Brotbeck","1"
"10427a78-3d92-4ab3-b6c0-dbfdfef56aee","Hieronymus Froben","1"
"117bf878-67de-4646-b967-b6022532ad85","Johann Eck","1"
"121b1905-f2fa-4eb1-8a9d-6d078d310734","Rat zu Laufenburg","1"
"152d325f-82ad-4e17-8bbb-7dbe69d23080","Augustin Lupf","1"
"2069c634-4bb6-49be-b96c-84ef9838ed86","Konrad Adelmann","1"
"2294724e-e40f-4f24-a257-2166be091cdc","Konrad Baumann","1"
"26d1a52c-5363-4617-ac45-9741fc316647","Wolfgang von Tannberg","1"
"37c35edc-0daf-4a20-8212-b2883390bb20","Bürgermeister von Nürnberg","1"
"3914a97e-ae0c-4426-87fd-b5fc649fe382","Johannes Reusch","1"
"3a8a0e06-90d1-4df4-aa88-c86ac5eedd8f","Endres Wallenfelser","1"
"3d874c24-b7bf-4657-a0a6-96b4cc27c718","Nikolaus Zinner","1"
"43cc4bb7-2271-4392-bf81-abbb165a421e","Clemens Volckamer","1"
"44a364e3-eab1-4667-8f60-86dd13dcd10c","Konrat Reuter","1"
"52903864-769d-4667-87b9-a9e3fb1e424e","Endres Imhoff","1"
"5986140b-f7fb-49c5-bbf4-3eb228a3ca50","Die Fünf Herren","1"
"5d99a856-5f72-480e-a00e-7a9b421a9383","Christoph Koler","1"
"6130c2bf-0d6b-44bf-a738-2b2383200bb9","Johann Tschertte","1"
"61768e62-b9a3-4d85-9d27-c71fe98cd41b","Georg von Wolmershausen","1"
"663df7f4-ba6c-460d-8a15-3639794f5a1a","Hans Gotzendorffer","1"
"68e9f7d5-7c19-4579-bcfb-1205839871dd","Nikolaus Gerbel","1"
"69d4bbb5-1374-41d2-887e-8e91111bf86e","Graf Ulrich von Helfenstein","1"
"6afef12d-09c0-4483-8311-3b489cd2523e","Räte des Markgrafen in Ansbach","1"
"70d2929a-a318-4a6b-8642-2e2fdccfc920","Jörg Truchseß","1"
"73d12a0c-c4d2-4a43-a532-a423ebaf888d","Georg Beheim","1"
"76b78dc7-2aaf-42b0-b0b7-ced06ae7fbc1","Bartholomaeus Maier","1"
"7d782e17-7f76-4319-b3e8-98d3779dbdc7","Hans Koberger","1"
"7e4be060-6388-4fe4-b5f2-d5931ac9be71","Konrad von Thüngen // Konrad, Bischof von Würzburg","1"
"82023df8-a729-45f3-9e10-690acb331101","Hans II. Paumgartner // Hans Baumgartner","1"
"86827ef6-2932-4adc-8df4-5c52b2933f28","Vinzenz Longinus Eleutherius","1"
"869cee7a-7a81-4e88-af8c-66d85422436b","Veit von Lentersheim","1"
"8e337b13-a43c-4100-81c0-7ee324f61eb0","Papst Hadrian VI","1"
"9c88b9b3-c565-4dea-a9d9-ef2fc0896070","Anwälte zweier Grafen von Hohenlohe","1"
"9f4f356c-c07c-43fc-b13f-0d90fbe23da1","Georg Sauermann // Johann [?]","1"
"a20b6be9-28f9-46c7-b8cd-b6a0014d7d15","Baptista Egnatius","1"
"a578c69d-7b6a-4e74-955b-ff0be06a4f1a","Albrecht Dürer","1"
"adffc997-aa5d-4886-a3ce-e9a0ffd89e4f","Pfalzgraf Ludwig","1"
"ae299c0d-a569-4eb0-894a-0c99bfb0575e","Konrad Peutinger","1"
"b5214f05-0224-4d53-9197-52039465d803","Ulrich Zwingli","1"
"b529eb19-2aa9-46d4-b5b0-f71383bb44f5","Walburg Pirckheimer","1"
"bbc47610-0c42-4a6a-a0cc-5010116740b7","Michael Pufler","1"
"bc8773a2-2283-4a14-b8e7-f2a205dda588","Johann von Staupitz","1"
"bee4cc0c-fd13-41b9-b3fe-94fcd71ed4b0","Hans Praun","1"
"c0ca05ba-5fe7-48ec-a9e0-8186288431ec","Wolfgang Volprecht","1"
"cba09797-6301-4554-85f6-a198c5c252cf","Heinrich von Schleynitz","1"
"d0f41ca6-3f26-41bc-9553-afbb4ac99be2","Thomas von Thierstein","1"
"d5e32220-41a8-4bb4-80aa-13fc333520d3","Sebastian Brant","1"
"daa18870-1c1f-4d5a-9cef-f9f93fcece52","Jakob Ziegler","1"
"e0150d6f-0947-4f2d-8e18-bc2ca24d8548","Ulrich Arzt","1"
"e1d61ad4-bfa4-4202-97c4-29ef8cf66541","Friedrich Nausea","1"
"e30f839f-c832-42e2-b7ea-22a344dbdf2b","Jakob Montanus","1"
"eb89a77b-f82f-40be-951c-602ed5a07c33","Ein Reichsfürst","1"
"f06096c0-b735-4eeb-aa95-9cdca9635381","Johannes Alexander Brassicanus","1"
"f564e651-a2fc-489f-85ad-b6ee7657da50","Caritas Pirckheimer d. J.","1"
